id_pedido,id_cliente,fecha,hora,id_departamento,id_seccion,id_producto,nombre_producto,precio_unitario,cantidad,precio_total
"1,112108,""2023-02-02 00:00:00"",10,4,83,49683,""Pepino Kirby"",0.99,4,3.96"
"1,112108,""2023-02-02 00:00:00"",10,4,24,13176,""Bolsa de Bananas Orgánicas"",2.45,4,9.8"
"1,112108,""2023-02-02 00:00:00"",10,4,24,47209,""Aguacate Hass Orgánico"",1.79,2,3.58"
"2,202279,""2023-02-03 00:00:00"",9,4,83,28985,""Col Rizada Orgánica de Michigan"",2.55,2,5.1"
"2,202279,""2023-02-03 00:00:00"",9,4,83,17794,Zanahorias,0.95,5,4.75"
"3,205970,""2023-06-12 00:00:00"",17,4,123,21903,""Espinacas Baby Orgánicas"",1.49,4,5.96"
"5,156122,""2023-10-21 00:00:00"",16,4,24,13176,""Bolsa de Bananas Orgánicas"",2.45,5,12.25"
"5,156122,""2023-10-21 00:00:00"",16,4,123,27966,""Frambuesas Orgánicas"",2.85,7,19.95"
"5,156122,""2023-10-21 00:00:00"",16,4,24,47209,""Aguacate Hass Orgánico"",1.79,3,5.37"
"10,135442,""2023-01-28 00:00:00"",8,4,24,24852,Banana,1.05,5,5.25"
"10,135442,""2023-01-28 00:00:00"",8,4,16,31717,""Cilantro Orgánico"",0.69,5,3.45"
"10,135442,""2023-01-28 00:00:00"",8,4,24,47766,""Aguacate Orgánico"",1.75,4,7.0"
"10,135442,""2023-01-28 00:00:00"",8,4,83,4605,""Cebollas Amarillas"",0.85,4,3.4"
"10,135442,""2023-01-28 00:00:00"",8,4,24,21137,""Fresas Orgánicas"",2.49,4,9.96"
"10,135442,""2023-01-28 00:00:00"",8,16,53,49235,""Crema Orgánica"",1.15,7,8.05"
"14,18194,""2023-12-13 00:00:00"",15,16,84,27845,""Leche Entera Orgánica"",0.99,7,6.93"
"14,18194,""2023-12-13 00:00:00"",15,4,24,45066,""Manzana Honeycrisp"",1.55,5,7.75"
"18,118860,""2023-01-19 00:00:00"",20,7,115,44632,""Agua con Gas de Pomelo"",0.95,3,2.85"
"18,118860,""2023-01-19 00:00:00"",20,4,123,27966,""Frambuesas Orgánicas"",2.85,3,8.55"
"18,118860,""2023-01-19 00:00:00"",20,4,83,46979,""Espárragos"",1.95,4,7.8"
"18,118860,""2023-01-19 00:00:00"",20,4,24,47766,""Aguacate Orgánico"",1.75,5,8.75"
"19,83009,""2023-05-10 00:00:00"",17,4,123,42265,""Zanahorias Baby Orgánicas"",1.25,5,6.25"
"20,182912,""2023-01-07 00:00:00"",17,4,24,24852,Banana,1.05,4,4.2"
"22,30822,""2023-10-06 00:00:00"",8,4,24,24852,Banana,1.05,7,7.35"
"22,30822,""2023-10-06 00:00:00"",8,4,83,46979,""Espárragos"",1.95,6,11.7"
"23,68572,""2023-09-30 00:00:00"",18,4,24,47766,""Aguacate Orgánico"",1.75,7,12.25"
"23,68572,""2023-09-30 00:00:00"",18,4,83,8518,""Cebolla Roja Orgánica"",0.92,4,3.68"
"26,153404,""2023-01-08 00:00:00"",16,4,24,24852,Banana,1.05,2,2.1"
"26,153404,""2023-01-08 00:00:00"",16,4,123,21903,""Espinacas Baby Orgánicas"",1.49,4,5.96"
"26,153404,""2023-01-08 00:00:00"",16,4,24,47766,""Aguacate Orgánico"",1.75,4,7.0"
"27,129389,""2023-08-24 00:00:00"",20,4,24,13176,""Bolsa de Bananas Orgánicas"",2.45,5,12.25"
"27,129389,""2023-08-24 00:00:00"",20,4,24,47766,""Aguacate Orgánico"",1.75,7,12.25"
"27,129389,""2023-08-24 00:00:00"",20,4,83,17794,Zanahorias,0.95,7,6.65"
"27,129389,""2023-08-24 00:00:00"",20,4,83,28985,""Col Rizada Orgánica de Michigan"",2.55,7,17.85"
"27,129389,""2023-08-24 00:00:00"",20,4,83,41950,""Racimo de Tomates Orgánicos"",2.25,8,18.0"
"28,98256,""2023-05-10 00:00:00"",13,4,24,47626,""Limón Grande"",0.62,3,1.86"
"28,98256,""2023-05-10 00:00:00"",13,4,24,47209,""Aguacate Hass Orgánico"",1.79,8,14.32"
"29,81606,""2023-05-26 00:00:00"",12,4,24,13176,""Bolsa de Bananas Orgánicas"",2.45,6,14.7"
"31,201744,""2023-02-25 00:00:00"",15,4,83,22935,""Cebolla Amarilla Orgánica"",0.88,6,5.28"
"31,201744,""2023-02-25 00:00:00"",15,4,123,21903,""Espinacas Baby Orgánicas"",1.49,7,10.43"
"31,201744,""2023-02-25 00:00:00"",15,4,16,31717,""Cilantro Orgánico"",0.69,5,3.45"
"31,201744,""2023-02-25 00:00:00"",15,4,123,4920,""Uvas Rojas sin Semillas"",2.45,3,7.35"
"32,119216,""2023-01-30 00:00:00"",19,4,24,13176,""Bolsa de Bananas Orgánicas"",2.45,2,4.9"
"32,119216,""2023-01-30 00:00:00"",19,4,83,49683,""Pepino Kirby"",0.99,5,4.95"
"32,119216,""2023-01-30 00:00:00"",19,4,123,4920,""Uvas Rojas sin Semillas"",2.45,8,19.6"
"36,79431,""2023-12-14 00:00:00"",18,16,53,49235,""Crema Orgánica"",1.15,4,4.6"
